"","words","term.freq","doc.freq"
"395","congress",46,19
"396","coined",2,2
"397","rate",34,20
"398","annum",8,5
"399","contracters",1,1
"400","also",116,81
"401","bound",34,32
"402","famous",2,2
"403","jersey",4,3
"404","copper",14,12
"405","little",90,61
"406","larger",11,9
"407","halfpence",2,2
"408","passes",8,6
"409","states;–silver",1,1
"410","gold",27,13
"411","coins",5,4
"412","nations",28,23
"413","however",98,59
"414","pass",26,17
"415","cur",1,1
"416","rent",11,7
"417","yet",97,69
"418","ordered",30,23
"419","silver",15,12
"420","gentleman",60,40
"421","bermuda",6,4
"422","friend",38,21
"423","norfolk",7,6
"424","virginia",17,15
"425","april",55,27
"426","captain",110,59
"427","gilbert",1,1
"428","bearer",4,3
"429","distress",26,15
"430","provi",1,1
"431","sions",1,1
"432","whole",147,84
"433","corn",34,23
"434","sale",26,20
"435","past",20,18
"436","george",34,18
"437","baltimore",7,6
"438","immeddiately",1,1
"439","barrels",9,4
"440","superfine",1,1
"441","eight",44,39
"442","barrel",4,4
"443","expected",51,42
"444","relieve",5,5
"445","number",213,121
"446","obliged",20,15
"447","live",40,28
"448","greens",1,1
"449","field",24,19
"450","hamilton",9,4
"451","advice",13,11
"452","counsel",8,7
"453","opened",20,17
"454","foreign",37,27
"455","whatever",31,27
"456","thirty",17,17
"457","computed",3,3
"458","march",44,30
"459","laden",9,6
"460","allows",3,3
"461","salted",2,2
"462","said",162,76
"463","permited",1,1
"464","allowed",27,25
"465","dispose",5,4
"466","prove",24,22
"467","set",41,34
"468","intent",1,1
"469","ready",23,21
"470","sail",34,28
"471","advise",11,6
"472","late",69,52
"473","publication",7,5
"474","entitled",21,17
"475","state",207,99
"476","give",106,74
"477","public",130,61
"478","idea",24,22
"479","bill",77,19
"480","talked",5,5
"481","procrastinated",1,1
"482","long",82,51
"483","pending",1,1
"484","work",54,31
"485","understand",50,38
"486","production",10,9
"487","adam",4,4
"488","lymburner",1,1
"489","esq",64,28
"490","negotiate",3,3
"491","afair",1,1
"492","remarkablewithhis",1,1
"493","former",45,41
"494","strong",31,27
"495","nervous",1,1
"496","elocution",1,1
"497","perspicuity",1,1
"498","reasoning.liberty",1,1
"499","congenial",5,4
"500","feelings",14,12
"501","mankind",6,6
"502","security",32,20
"503","flows",1,1
"504","free",65,39
"505","constitution",25,18
"506","political",19,13
"507","civil",27,20
"508","liberty",27,19
"509","contributes",1,1
"510","towards",59,38
"511","bringing",13,12
"512","powers",16,12
"513","human",30,24
"514","mind",32,28
"515","encouragement",14,10
"516","called",72,48
"517","participate",3,3
"518","legislative",22,12
"519","authority",38,27
"520","representatives",16,13
"521","criterion",2,2
"522","freedom",6,6
"523","extremely",22,18
"524","natural",28,24
"525","subjects",45,27
"526","know",46,31
"527","struggle",3,3
"528","valuable",38,27
"529","right",70,37
"530","constantly",14,14
"531","acknoledged",1,1
"532","prin",3,3
"533","ciple",3,3
"534","granted",26,18
"535","means",116,71
"536","rendered",16,13
"537","flourishing",10,9
"538","prosperous",6,6
"539","ther",2,2
"540","although",30,24
"541","inhabitants",75,55
"542","general",189,95
"543","tendency",7,7
"544","mild",19,16
"545","administration",15,12
"546","enjoyed",5,5
"547","certain",52,36
"548","peculiar",12,12
"549","nature",44,36
"550","system",52,33
"551","entirely",21,20
"552","deprived",5,5
"553","full",73,54
"554","enjoyment",5,5
"555","essential",8,8
"556","privileges",3,3
"557","prayer",7,5
"558","petitions",3,3
"559","fore",2,2
"560","house",166,71
"561","commons",13,12
"562","objects",23,18
"563","prayed",2,2
"564","reduced",19,16
"565","heads",7,6
"566","elective",9,9
"567","assembly",33,18
"568","members",45,24
"569","receive",33,28
"570","salaries",7,5
"571","counsellors",1,1
"572","habeas",2,2
"573","corpusact",1,1
"574","laws",51,28
"575","relating",4,4
"576","personal",12,11
"577","libertybe",1,1
"578","part",178,108
"579","trial",23,16
"580","jury",20,10
"581","causes",12,12
"582","likewise",15,13
"583","twelve",26,25
"584","return",54,43
"585","verdict",5,4
"586","ancient",4,4
"587","relative",22,16
"588","marriage",8,7
"589","settlements",41,33
"590","inheritance",3,3
"591","dowers",1,1
"592","continued",27,24
"593","force",57,38
"594","districts",10,9
"595","curious",17,14
"596","anecdote.–a",1,1
"597","stranger",7,3
"598","waited",5,4
"599","sibbly",5,1
"600","treasurer",3,3
"601","east",31,24
"602","india",53,40
"603","company",107,44
"604","desired",13,13
"605","speak",16,12
"606","private",41,34
"607","retired",11,8
"608","lately",60,48
"609","returned",41,33
"610","smuggled",1,1
"611","duty",30,22
"612","pay",55,30
"613","upon",282,114
"614","smiled",2,2
"615","told",17,15
"616","money",89,49
"617","chairman's",1,1
"618","permission",7,7
"619","pray",4,4
"620","soon",71,60
"621","possible",30,25
"622","resolved",23,16
"623","pays",5,5
"624","exclusive",11,11
"625","privilege",6,6
"626","europe",38,26
"627","man",130,74
"628","deprives",1,1
"629","advantages",25,18
"630","hope",63,47
"631","reap",2,2
"632","opinion",39,29
"633","look",23,20
"634","strictly",12,10
"635","honest",7,7
"636","chairman",14,11
"637","answer",19,16
"638","notwithstanding",12,12
"639","gave",47,37
"640","including",15,13
"641","bank",28,15
"642","note",7,3
"643","thing",54,39
"644","dublin",11,9
"645","indiaman",3,3
"646","william",57,29
"647","joneswe",1,1
"648","left",103,77
"649","patia",1,1
"650","dec",14,13
"651","went",48,33
"652","decca",2,1
"653","passage",67,49
"654","famine",9,6
"655","really",9,9
"656","shocking",6,6
"657","sight",9,9
"658","behold",3,3
"659","move",9,8
"660","corpses",1,1
"661","lay",20,20
"662","way",67,51
"663","wild",32,12
"664","dogs",2,2
"665","jackalls",1,1
"666","eating",12,11
"667","noon-day",1,1
"668","hindoos",1,1
"669","bury",2,2
"670","dead",20,17
"671","burn",2,2
"672","afford",31,25
"673","throw",4,4
"674","river",149,62
"675","seen",50,35
"676","side",68,38
"677","laid",43,31
"678","lowwater",1,1
"679","mark",14,13
"680","tide",4,4
"681","flowed",1,1
"682","woman",26,21
"683","child",23,20
"684","dies",2,2
"685","night",44,33
"686","corpse",4,3
"687","eaten",1,1
"688","eye",11,8
"689","witness",4,4
"690","always",27,22
"691","rode",3,3
"692","horseback",4,4
"693","every",257,113
"694","opportunity",28,25
"695","seeing",11,10
"696","course",70,50
"697","became",12,12
"698","used",15,14
"699","took",83,58
"700","notice",40,34
"701","it.i",1,1
"702","dreadful",29,23
"703","conflagration",4,3
"704","place",198,107
"705","burnt",24,20
"706","seven",34,28
"707","miles",122,53
"708","intermission",2,2
"709","many",207,109
"710","perished",6,6
"711","inudation",1,1
"712","second",56,39
"713","third",29,25
"714","distressed",11,11
"715","leave",40,30
"716","think",51,33
"717","december",24,22
"718","calcutta",10,7
"719","sunderburns",1,1
"720","hearty",2,2
"721","thank",3,3
"722","god",10,10
"723","old",37,29
"724","sending",17,14
"725","men",189,96
"726","rank",26,24
"727","govern",3,2
"728","seems",28,23
"729","revived",3,3
"730","laudably",1,1
"731","too.this",1,1
"732","important",51,41
"733","possession",33,22
"734","hold",28,23
"735","distinction",3,3
"736","parent",7,6
"737","bestow",1,1
"738","it.the",6,5
"739","salary",8,6
"740","emoluments",2,2
"741","annexed",6,5
"742","render",14,13
"743","king's",30,22
"744","gift",2,2
"745","ireland.soon",1,1
"746","restoration",4,4
"747","o'brian",1,1
"748","earl",27,17
"749","inchiquin",1,1
"750","appointed",31,25
"751","died",26,21
"752","government.henry",1,1
"753","bentinck",2,2
"754","duke",43,15
"755","portland",1,1
"756","reign",2,2
"757","grace",16,7
"758","july",49,35
"759","age.the",1,1
"760","death",49,26
"761","noblemen",1,1
"762","impression",7,7
"763","climate",40,27
"764","insalubrity",1,1
"765","air",11,9
"766","persons",135,84
"767","fortune",10,9
"768","ambitious",1,1
"769","becoming",9,8
"770","governors",12,8
"771","notwith",1,1
"772","standing",5,5
"773","brilliancy",4,2
"774","appointments",2,2
"775","nexd",1,1
"776","situation",47,28
"777","bay",45,37
"778","honduras",3,3
"779","says",28,25
"780","spaniards",18,10
"781","annual",16,11
"782","visit",14,13
"783","settlement",73,50
"784","prevent",31,29
"785","encroachments",2,2
"786","destroying",9,9
"787","cultivated",7,5
"788","spots",1,1
"789","shore",15,14
"790","alledging",1,1
"791","settlers",78,39
"792","prohibited",11,11
"793","convention",14,5
"794","cultivation",23,19
"795","kind",36,33
"796","temporary",12,10
"797","misfortune",4,4
"798","woodcutters",2,1
"799","depriving",2,2
"800","principal",34,30
"801","subsisting",8,8
"802","negroes",23,13
"803","might",107,55
"804","mischief",2,2
"805","superintendant",1,1
"806","colonel",45,35
"807","despar",1,1
"808","calypso",1,1
"809","sloop",7,7
"810","war",94,61
"811","keeps",2,2
"812","mahogany",1,1
"813","certainly",28,24
"814","raise",14,13
"815","form",62,45
"816","philadelphia",34,27
"817","travelled",6,6
"818","see",66,53
"819","appearance",41,29
"820","poverty",10,8
"821","boast",4,4
"822","britain–every",1,1
"823","meet",26,22
"824","rather",46,31
"825","extravagance",2,2
"826","procure",15,11
"827","easily",24,19
"828","frugal",1,1
"829","out-givings",1,1
"830","manufactured",6,6
"831","equal",30,27
"832","quality",30,23
"833","place.i",1,1
"834","children",67,31
"835","village",13,9
"836","farm-house",1,1
"837","them.–the",1,1
"838","increase",45,33
"839","like",45,29
"840","rabbits",1,1
"841","supposed",43,39
"842","double",9,8
"843","numbers",44,31
"844","shorter",4,4
"845","period.–what",1,1
"846","grand",26,19
"847","prospect",17,14
"848","hundreds",5,5
"849","acres",67,33
"850","land",231,107
"851","lye",2,2
"852","sic",2,2
"853","idle",6,5
"854","purchased",25,17
"855","manufacture",9,8
"856","wages",22,16
"857","high",59,41
"858","back",38,32
"859","pence",1,1
"860","engaging",7,7
"861","tons",21,19
"862","transports",6,6
"863","contract",9,6
"864","carry",37,30
"865","felons",1,1
"866","sentence",9,6
"867","transportation",17,11
"868","botany",10,9
"869","victualling",3,3
"870","convicts",34,21
"871","voyage",52,35
"872","included",6,6
"873","dear",9,7
"874","beef",9,8
"875","good",199,105
"876","pound",6,5
"877","mutton",4,4
"878","butter",11,9
"879","parishes",12,10
"880","upper",81,32
"881","niagara",27,15
"882","four",86,61
"883","months.there",1,1
"884","orders",36,29
"885","load",6,5
"886","exceedingly",9,9
"887","brisk",9,7
"888","giving",15,13
"889","preference",9,9
"890","european",12,8
"891","m'donald",2,2
"892","honour",31,22
"893","adopted",29,26
"894","liberal",11,10
"895","plan",51,32
"896","establishing",14,10
"897","free-villages",1,1
"898","extensive",29,20
"899","domains",1,1
"900","proposed",48,29
"901","lordship",25,10
"902","fraser",6,6
"903","perpetual",5,5
"904","feus",1,1
"905","lands",53,35
"906","subject",92,53
"907","moderate",9,8
"908","quit",7,5
"909","threatened",4,4
"910","emigrations",9,6
"911","america",110,72
"912","deserve",3,3
"913","highest",17,15
"914","praises",1,1
"915","kitt's",1,1
"916","matthew",4,3
"917","slegg",1,1
"918","downs",4,4
"919","nearly",41,33
"920","fixed",17,15
"921","august",27,23
"922","weather",27,22
"923","fine",45,38
"924","short",57,47
"925","description",44,35
"926","remarks",20,13
"927","western",39,23
"928","territory",28,21
"929","settled",32,26
"930","nation",34,27
"931","wha",1,1
"932","world",46,35
"933","experience",22,19
"934","obstinate",2,2
"935","rebel",1,1
"936","dare",5,5
"937","deny",6,6
"938","pleasure",23,17
"939","inform",12,12
"940","readers",17,15
"941","paying",12,10
"942","attention",46,38
"943","agriculture",5,5
"944","manufactures–they",1,1
"945","already",62,49
"946","beginning",19,19
"947","rebellion",1,1
"948","viz",12,12
"949","vermont",7,4
"950","kentucky",26,17
"951","indiana",2,1
"952","territory.about",1,1
"953","seventeen",4,3
"954","wilderness",3,2
"955","began",8,8
"956","forest",8,6
"957","rapid",12,11
"958","contains",20,12
"959","published",23,18
"960","abridged",1,1
"961","rerejoice",1,1
"962","heart",17,13
"963","briton",5,5
"964","read",34,21
"965","settling",8,7
"966","countries",22,18
"967","keep",16,13
"968","manufacturing",4,4
"969","opening",12,10
"970","customers",2,2
"971","tradesman",2,2
"972","twenty",30,27
"973","purchase",19,16
"974","lots",3,2
"975","territory.–hence",1,1
"976","demand",34,23
"977","manufactures",16,11
"978","continually",4,3
"979","increasing",17,15
"980","america.–desponding",1,1
"981","politicians",2,2
"982","derive",9,9
"983","comfort",19,16
"984","channels",3,3
"985","inland",4,3
"986","parts",45,33
"987","continent",12,9
"988","require",12,9
"989","supply.–british",1,1
"990","ages",7,7
"991","ascend",1,1
"992","rivers",12,7
"993","extraordinary",27,18
"994","navigation",19,16
"995","diffused",1,1
"996","fertile",26,18
"997","thirteen",7,6
"998","states.the",4,4
"999","name",48,35
"1000","bounded",3,2
"1001","mississippi",8,6
"1002","north",94,48
"1003","lakes–east",1,1
"1004","pennsylvania",11,8
"1005","south",205,115
"1006","south-east",2,2
"1007","ohio",22,17
"1008","hutchins",1,1
"1009","geographer",1,1
"1010","square",14,9
"1011","sixty-three",2,2
"1012","deducts",1,1
"1013","forth-three",1,1
"1014","water",67,43
"1015","remain",23,21
"1016","fed–ral",1,1
"1017","discharge",13,11
"1018","debt",21,12
"1019","owing",11,11
"1020","proportion",39,25
"1021","native",37,30
"1022","indians",132,61
"1023","disposed",19,17
"1024","congress*.on",1,1
"1025","commenced–one",1,1
"1026","marietta",1,1
"1027","miami.this",1,1
"1028","end",31,28
"1029","muskingham",1,1
"1030","hockhocking",1,1
"1031","sioto",1,1
"1032","miami",12,9
"1033","wobash&c–coal",1,1
"1034","iron",19,15
"1035","mines",8,5
"1036","salt",7,6
"1037","pits",1,1
"1038","abound",7,5
"1039","soil",31,19
"1040","excellent?as",1,1
"1041","rich",16,10
"1042","imagined",4,3
"1043","yield",7,7
"1044","labour",72,32
"1045","healthy",7,7
"1046","pleasant",4,3
"1047","commodious–the",1,1
"1048","spot",15,12
"1049","earth",12,7
"1050","known",40,34
"1051","europeans",15,15
"1052","americans–exceeding",1,1
"1053","timber",30,10
"1054","tall",1,1
"1055","variety?streams",1,1
"1056","mills",9,4
"1057","indigo",1,1
"1058","hemp",3,3
"1059","cotton",7,6
"1060","thrive",3,3
"1061","escape",11,9
"1062","exhibit",4,4
"1063","latent",2,2
"1064","beauties",3,3
"1065","fulfill",1,1
"1066","travellers",3,3
"1067","garden",5,5
"1068","center",1,1
"1069","empire",11,11
"1070","future",29,25
"1071","period",37,28
"1072","centrical",1,1
"1073","accommodate",1,1
"1074","better",57,43
"1075","stocked",2,2
"1076","game",6,4
"1077","herds",3,3
"1078","deers",1,1
"1079","elks",1,1
"1080","bears",4,4
"1081","fill",5,5
"1082","meadows",2,2
"1083","thie",2,2
"1084","country?turkies",1,1
"1085","geese",3,3
"1086","swans",3,3
"1087","partridges",1,1
"1088","innumerable",3,3
"1089","excellently",1,1
"1090","stored",2,2
"1091","fish",25,11
"1092","almost",39,32
"1093","navigable",7,7
"1094","sloops.in",1,1
"1095","ordinance",1,1
"1096","acquire",2,2
"1097","fifty",15,13
"1098","divided",13,10
"1099","states.rejoice",1,1
"1100","britons",1,1
"1101","supplied",13,12
"1102","natives",61,19
"1103","rum",9,8
"1104","women",49,33
"1105","going",32,27
"1106","among",119,67
"1107","female",27,21
"1108","destined",17,17
"1109","beautiful",26,15
"1110","pity",3,2
"1111","send",29,25
"1112","abroad",6,6
"1113","preferred",5,4
"1114","carlisle",3,3
"1115","saturday",31,27
"1116","o'clock",44,31
"1117","happened",12,10
"1118","violent",9,7
"1119","hurricane",2,2
"1120","pest",1,1
"1121","thunder",4,4
"1122","storm",14,8
"1123","lost",44,36
"1124","determine",2,2
"1125","proper",37,25
"1126","borough",5,3
"1127","vicinity",14,12
"1128","conceive",8,8
"1129","nothing",61,45
"1130","earthquake",7,6
"1131","attended",30,23
"1132","circumstances",44,35
"1133","cloud",4,2
"1134","clouds",3,3
"1135","lowering",1,1
"1136","aspect",3,3
"1137","furiously",1,1
"1138","agitated",2,2
"1139","broken",16,14
"1140","seemingly",1,1
"1141","fall",28,26
"1142","attracted",6,5
"1143","prepared",18,17
"1144","measure",29,23
"1145","follow",20,17
"1146","lightening",2,2
"1147","distance",50,30
"1148","remarkably",2,2
"1149","red",21,8
"1150","seemed",12,9
"1151","flash",2,2
"1152","quick",2,2
"1153","succession",3,3
"1154","sheet",1,1
"1155","flame",2,2
"1156","effect",54,35
"1157","motion",35,13
"1158","especially",12,12
"1159","pressed",12,12
"1160","heavy",31,30
"1161","suddenly",9,7
"1162","falling",16,12
"1163","hail",7,4
"1164","fell",37,28
"1165","rain",4,4
"1166","abundant",13,10
"1167","thrown",18,14
"1168","buckets",1,1
"1169","along",16,12
"1170","dashed",2,2
"1171","opposing",8,8
"1172","object",64,49
"1173","impetuous",1,1
"1174","wind",16,14
"1175","darkened",1,1
"1176","manner",48,37
"1177","surrounding",3,3
"1178","ruins",4,4
"1179","irresistible",3,3
"1180","column",4,3
"1181","happily",6,6
"1182","damages",3,2
"1183","apprehended",3,3
"1184","brick",3,2
"1185","rev",22,10
"1186","elevated",6,4
"1187","near",56,46
"1188","lying",21,19
"1189","directly",5,5
"1190","line",19,13
"1191","powerful",11,11
"1192","sufferer",2,2
"1193","building",19,16
"1194","borne",6,5
"1195","roof",6,4
"1196","paton's",2,1
"1197","striking",11,10
"1198","forcibly",7,6
"1199","injuring",3,3
"1200","ways",5,5
"1201","adjoining",13,12
"1202","lot",6,6
"1203","doctor's",2,2
"1204","injruing",1,1
"1205","smaller",12,8
"1206","buildings",18,13
"1207","next",78,54
"1208","pointed",16,14
"1209","fury",10,10
"1210","presbyterian",5,4
"1211","church",37,15
"1212","town–a",1,1
"1213","uncommon",5,5
"1214","solidity",2,2
"1215","calculated",31,26
"1216","stand",21,17
"1217","admist",1,1
"1218","elements",3,2
"1219","fourth",9,7
"1220","weighty",3,3
"1221","cornice",1,1
"1222","ground",35,29
"1223","open",35,25
"1224","centre",4,4
"1225","beat",5,5
"1226","injured",5,5
"1227","range",3,2
"1228","nearest",3,3
"1229","fences",3,3
"1230","neighbourhood",22,19
"1231","direction",25,18
"1232","far",64,51
"1233","farmers",22,14
"1234","sustained",7,7
"1235","learned",12,9
"1236","let",41,28
"1237","forgotten",3,3
"1238","scene",16,11
"1239","providence",8,7
"1240","single",30,27
"1241","life",34,26
"1242","injury",12,12
"1243","mentioning",1,1
"1244","hoped",15,11
"1245","restored",6,6
"1246","goes",11,11
"1247","rapidity",6,6
"1248","launched",6,6
"1249","october",28,25
"1250","pronounced",4,4
"1251","judges",8,8
"1252","excellent",29,25
"1253","piece",14,10
"1254","workshmanship",1,1
"1255","aug",11,10
"1256","happy",31,27
"1257","informing",2,2
"1258","memory",8,7
"1259","oldest",1,1
"1260","neither",25,19
"1261","mildew",1,1
"1262","fly",5,4
"1263","affected",5,5
"1264","large",103,72
"1265","grains",1,1
"1266","distinguished",15,12
"1267","favours",2,2
"1268","gratitude",7,7
"1269","sates",2,2
"1270","author",13,8
"1271","blessings",4,3
"1272","connected",13,13
"1273","deliverance",2,2
"1274","anarchy",3,3
"1275","establishment",31,24
"1276","wise",7,7
"1277","albany",1,1
"1278","county",32,23
"1279","ontario",6,5
"1280","genesee",1,1
"1281","ceded",1,1
"1282","commonwealth",5,4
"1283","massachusetts",5,4
"1284","brant",1,1
"1285","head",41,37
"1286","sachems",1,1
"1287","conadoque",2,1
"1288","seat",7,7
"1289","oliver",2,2
"1290","phelps",2,1
"1291","friendship",4,4
"1292","due",37,24
"1293","messrs",24,19
"1294","gorham",1,1
"1295","phelps–that",1,1
"1296","met",29,22
"1297","conducted",16,16
"1298","highly",31,27
"1299","gratified",7,6
"1300","treatment",5,4
"1301","lands.–the",1,1
"1302","informs",8,8
"1303","suburbs",1,1
"1304","hot",5,5
